Date,"User acquisition (All users, All events, Per interval, Daily): All countries / regions","User acquisition (All users, All events, Per interval, Daily): United States","User acquisition (All users, All events, Per interval, Daily): India","User acquisition (All users, All events, Per interval, Daily): Australia",Notes
"Jul 17, 2021",4,4,0,0,
"Jul 18, 2021",2,2,0,0,
"Jul 19, 2021",2,2,0,0,
"Jul 20, 2021",2,2,0,0,
"Jul 21, 2021",7,5,0,0,
"Jul 22, 2021",3,3,0,0,
"Jul 23, 2021",4,4,0,0,
"Jul 24, 2021",3,3,0,0,
"Jul 25, 2021",2,2,0,0,
"Jul 26, 2021",2,2,0,0,
"Jul 27, 2021",1,1,0,0,
"Jul 28, 2021",3,3,0,0,
"Jul 29, 2021",3,3,0,0,
"Jul 30, 2021",1,1,0,0,
"Jul 31, 2021",2,2,0,0,
"Aug 1, 2021",0,0,0,0,
"Aug 2, 2021",3,3,0,0,
"Aug 3, 2021",1,1,0,0,
"Aug 4, 2021",2,1,1,0,
"Aug 5, 2021",0,0,0,0,
"Aug 6, 2021",3,3,0,0,
"Aug 7, 2021",1,1,0,0,
"Aug 8, 2021",1,1,0,0,
"Aug 9, 2021",1,1,0,0,
"Aug 10, 2021",1,1,0,0,
"Aug 11, 2021",5,5,0,0,
"Aug 12, 2021",1,1,0,0,
"Aug 13, 2021",4,3,0,0,
"Aug 14, 2021",2,2,0,0,
"Aug 15, 2021",1,1,0,0,
"Aug 16, 2021",0,0,0,0,
"Aug 17, 2021",1,1,0,0,
"Aug 18, 2021",1,1,0,0,
"Aug 19, 2021",3,3,0,0,
"Aug 20, 2021",2,2,0,0,
"Aug 21, 2021",0,0,0,0,
"Aug 22, 2021",0,0,0,0,
"Aug 23, 2021",2,1,0,0,
"Aug 24, 2021",1,1,0,0,
"Aug 25, 2021",2,2,0,0,
"Aug 26, 2021",0,0,0,0,
"Aug 27, 2021",1,1,0,0,
"Aug 28, 2021",2,2,0,0,
"Aug 29, 2021",1,1,0,0,
"Aug 30, 2021",2,2,0,0,
"Aug 31, 2021",5,5,0,0,
"Sep 1, 2021",2,2,0,0,
"Sep 2, 2021",3,3,0,0,
"Sep 3, 2021",4,4,0,0,
"Sep 4, 2021",1,1,0,0,
"Sep 5, 2021",0,0,0,0,
"Sep 6, 2021",2,2,0,0,
"Sep 7, 2021",2,2,0,0,
"Sep 8, 2021",6,6,0,0,
"Sep 9, 2021",1,1,0,0,
"Sep 10, 2021",3,3,0,0,
"Sep 11, 2021",2,2,0,0,
"Sep 12, 2021",2,2,0,0,
"Sep 13, 2021",10,10,0,0,
"Sep 14, 2021",10,10,0,0,
"Sep 15, 2021",5,5,0,0,
"Sep 16, 2021",2,2,0,0,
"Sep 17, 2021",2,1,0,0,
"Sep 18, 2021",4,4,0,0,
"Sep 19, 2021",2,2,0,0,
"Sep 20, 2021",1,1,0,0,
"Sep 21, 2021",5,5,0,0,
"Sep 22, 2021",9,9,0,0,
"Sep 23, 2021",4,4,0,0,
"Sep 24, 2021",1,1,0,0,
"Sep 25, 2021",2,2,0,0,
"Sep 26, 2021",2,1,1,0,
"Sep 27, 2021",5,5,0,0,
"Sep 28, 2021",4,4,0,0,
"Sep 29, 2021",5,5,0,0,
"Sep 30, 2021",43,43,0,0,
"Oct 1, 2021",32,32,0,0,
"Oct 2, 2021",22,22,0,0,
"Oct 3, 2021",9,9,0,0,
"Oct 4, 2021",7,6,0,0,
"Oct 5, 2021",5,5,0,0,
"Oct 6, 2021",1,1,0,0,
"Oct 7, 2021",0,0,0,0,
"Oct 8, 2021",3,3,0,0,
"Oct 9, 2021",2,2,0,0,
"Oct 10, 2021",2,2,0,0,
"Oct 11, 2021",0,0,0,0,
"Oct 12, 2021",0,0,0,0,
"Oct 13, 2021",2,2,0,0,
"Oct 14, 2021",1,1,0,0,
"Oct 15, 2021",0,0,0,0,
"Oct 16, 2021",4,4,0,0,
"Oct 17, 2021",2,2,0,0,
"Oct 18, 2021",2,2,0,0,
"Oct 19, 2021",4,4,0,0,
"Oct 20, 2021",3,3,0,0,
"Oct 21, 2021",0,0,0,0,
"Oct 22, 2021",2,2,0,0,
"Oct 23, 2021",4,4,0,0,
"Oct 24, 2021",3,2,0,0,
"Oct 25, 2021",3,3,0,0,
"Oct 26, 2021",2,2,0,0,
"Oct 27, 2021",2,2,0,0,
"Oct 28, 2021",0,0,0,0,
"Oct 29, 2021",0,0,0,0,
"Oct 30, 2021",2,2,0,0,
"Oct 31, 2021",1,1,0,0,
"Nov 1, 2021",0,0,0,0,
"Nov 2, 2021",5,5,0,0,
"Nov 3, 2021",0,0,0,0,
"Nov 4, 2021",2,2,0,0,
"Nov 5, 2021",3,3,0,0,
"Nov 6, 2021",5,5,0,0,
"Nov 7, 2021",4,4,0,0,
"Nov 8, 2021",5,5,0,0,
"Nov 9, 2021",3,3,0,0,
"Nov 10, 2021",4,4,0,0,
"Nov 11, 2021",5,5,0,0,
"Nov 12, 2021",5,5,0,0,
"Nov 13, 2021",1,1,0,0,
"Nov 14, 2021",1,1,0,0,
"Nov 15, 2021",1,1,0,0,
"Nov 16, 2021",2,2,0,0,
"Nov 17, 2021",4,4,0,0,
"Nov 18, 2021",6,6,0,0,
"Nov 19, 2021",2,2,0,0,
"Nov 20, 2021",2,2,0,0,
"Nov 21, 2021",0,0,0,0,
"Nov 22, 2021",2,2,0,0,
"Nov 23, 2021",2,2,0,0,
"Nov 24, 2021",1,1,0,0,
"Nov 25, 2021",1,0,1,0,
"Nov 26, 2021",3,2,1,0,
"Nov 27, 2021",1,1,0,0,
"Nov 28, 2021",19,18,0,0,
"Nov 29, 2021",116,115,0,0,
"Nov 30, 2021",14,13,1,0,
"Dec 1, 2021",7,6,0,0,
"Dec 2, 2021",1,1,0,0,
"Dec 3, 2021",3,3,0,0,
"Dec 4, 2021",3,3,0,0,
"Dec 5, 2021",3,3,0,0,
"Dec 6, 2021",4,4,0,0,
"Dec 7, 2021",1,1,0,0,
"Dec 8, 2021",2,2,0,0,
"Dec 9, 2021",1,1,0,0,
"Dec 10, 2021",12,11,0,0,
"Dec 11, 2021",2,2,0,0,
"Dec 12, 2021",0,0,0,0,
"Dec 13, 2021",0,0,0,0,
"Dec 14, 2021",4,4,0,0,
"Dec 15, 2021",3,3,0,0,
"Dec 16, 2021",4,3,1,0,
"Dec 17, 2021",4,4,0,0,
"Dec 18, 2021",1,1,0,0,
"Dec 19, 2021",0,0,0,0,
"Dec 20, 2021",2,2,0,0,
"Dec 21, 2021",1,1,0,0,
"Dec 22, 2021",1,1,0,0,
"Dec 23, 2021",4,3,1,0,
"Dec 24, 2021",4,4,0,0,
"Dec 25, 2021",2,2,0,0,
"Dec 26, 2021",1,1,0,0,
"Dec 27, 2021",6,5,0,0,
"Dec 28, 2021",4,4,0,0,
"Dec 29, 2021",3,3,0,0,
"Dec 30, 2021",3,3,0,0,
"Dec 31, 2021",7,6,0,0,
"Jan 1, 2022",3,3,0,0,
"Jan 2, 2022",2,2,0,0,
"Jan 3, 2022",3,3,0,0,
"Jan 4, 2022",19,19,0,0,
"Jan 5, 2022",17,17,0,0,
